formation_bin_key,formation_name,formation_segment,order
Wilcox|0,Wilcox,0,0
Wilcox|10,Wilcox,10,1
Wilcox|20,Wilcox,20,2
Wilcox|30,Wilcox,30,3
Wilcox|40,Wilcox,40,4
Wilcox|50,Wilcox,50,5
Wilcox|60,Wilcox,60,6
Wilcox|70,Wilcox,70,7
Wilcox|80,Wilcox,80,8
Wilcox|90,Wilcox,90,9
Midway|0,Midway,0,10
Midway|10,Midway,10,11
Midway|20,Midway,20,12
Midway|30,Midway,30,13
Midway|40,Midway,40,14
Midway|50,Midway,50,15
Midway|60,Midway,60,16
Midway|70,Midway,70,17
Midway|80,Midway,80,18
Midway|90,Midway,90,19
Escondido|0,Escondido,0,20
Escondido|10,Escondido,10,21
Escondido|20,Escondido,20,22
Escondido|30,Escondido,30,23
Escondido|40,Escondido,40,24
Escondido|50,Escondido,50,25
Escondido|60,Escondido,60,26
Escondido|70,Escondido,70,27
Escondido|80,Escondido,80,28
Escondido|90,Escondido,90,29
Olmos|0,Olmos,0,30
Olmos|10,Olmos,10,31
Olmos|20,Olmos,20,32
Olmos|30,Olmos,30,33
Olmos|40,Olmos,40,34
Olmos|50,Olmos,50,35
Olmos|60,Olmos,60,36
Olmos|70,Olmos,70,37
Olmos|80,Olmos,80,38
Olmos|90,Olmos,90,39
Hazard|0,Hazard,0,40
Hazard|10,Hazard,10,41
Hazard|20,Hazard,20,42
Hazard|30,Hazard,30,43
Hazard|40,Hazard,40,44
Hazard|50,Hazard,50,45
Hazard|60,Hazard,60,46
Hazard|70,Hazard,70,47
Hazard|80,Hazard,80,48
Hazard|90,Hazard,90,49
San Miguel|0,San Miguel,0,50
San Miguel|10,San Miguel,10,51
San Miguel|20,San Miguel,20,52
San Miguel|30,San Miguel,30,53
San Miguel|40,San Miguel,40,54
San Miguel|50,San Miguel,50,55
San Miguel|60,San Miguel,60,56
San Miguel|70,San Miguel,70,57
San Miguel|80,San Miguel,80,58
San Miguel|90,San Miguel,90,59
Austin Chalk|0,Austin Chalk,0,60
Austin Chalk|10,Austin Chalk,10,61
Austin Chalk|20,Austin Chalk,20,62
Austin Chalk|30,Austin Chalk,30,63
Austin Chalk|40,Austin Chalk,40,64
Austin Chalk|50,Austin Chalk,50,65
Austin Chalk|60,Austin Chalk,60,66
Austin Chalk|70,Austin Chalk,70,67
Austin Chalk|80,Austin Chalk,80,68
Austin Chalk|90,Austin Chalk,90,69
Anacacho|0,Anacacho,0,70
Anacacho|10,Anacacho,10,71
Anacacho|20,Anacacho,20,72
Anacacho|30,Anacacho,30,73
Anacacho|40,Anacacho,40,74
Anacacho|50,Anacacho,50,75
Anacacho|60,Anacacho,60,76
Anacacho|70,Anacacho,70,77
Anacacho|80,Anacacho,80,78
Anacacho|90,Anacacho,90,79
Eagle Ford|0,Eagle Ford,0,80
Eagle Ford|10,Eagle Ford,10,81
Eagle Ford|20,Eagle Ford,20,82
Eagle Ford|30,Eagle Ford,30,83
Eagle Ford|40,Eagle Ford,40,84
Eagle Ford|50,Eagle Ford,50,85
Eagle Ford|60,Eagle Ford,60,86
Eagle Ford|70,Eagle Ford,70,87
Eagle Ford|80,Eagle Ford,80,88
Eagle Ford|90,Eagle Ford,90,89
Buda|0,Buda,0,90
Buda|10,Buda,10,91
Buda|20,Buda,20,92
Buda|30,Buda,30,93
Buda|40,Buda,40,94
Buda|50,Buda,50,95
Buda|60,Buda,60,96
Buda|70,Buda,70,97
Buda|80,Buda,80,98
Buda|90,Buda,90,99
