formation_name,source_asset_id,md_start,md_end,formation_md_top,formation_tvd_top,rop_limit_p95_x1p3,diff_press_limit_p95_x1p3,wob_p95_floor,rotary_rpm_median_rounded5
Midway Shale,18398736,2851,3497,2571.57,2569.0,580,1070,39,60
Arkadelphia,18398736,3498,3816,3497.91,3493.0,580,1450,46,50
Pecan Gap Chalk,18398736,3817,4086,3816.12,3810.0,470,1020,46,50
Base Ozan,18398736,4087,4539,4086.15,4079.0,310,810,20,50
Austin Chalk,18398736,4540,5028,4539.87,4531.0,460,1030,45,50
Fredricksburg Limestone,18398736,5029,5399,5028.73,5018.0,390,1320,55,60
Paluxy,18398736,5400,5685,5399.1,5387.0,390,1330,55,60
Glen Rose,18398736,5686,6402,5685.49,5673.0,280,1070,60,60
Lower Glen Rose,18398736,6403,7018,6402.5,6390.0,280,1350,60,50
Ferry Lake Anhydrite,18398736,7019,7188,7018.5,7006.0,250,1300,60,50
Rodessa,18398736,7189,7676,7188.5,7176.0,360,1490,60,50
Bexar Shale,18398736,7677,7837,7676.5,7664.0,430,1580,60,50
James Lime,18398736,7838,8071,7837.5,7825.0,250,1390,65,50
Pine Island,18398736,8072,8403,8071.5,8059.0,350,1480,65,50
Pettet,18398736,8404,8955,8403.5,8391.0,330,1520,65,50
Upper Hosston,18398736,8956,9880,8955.5,8943.0,290,1480,72,30
Middle Hosston,18398736,9881,9969,9880.5,9868.0,80,1410,74,30
Travis Peak Lower,64628631,10620,11600,10607.19,10506.0,110,770,60,35
Cotton Valley,64628631,11601,11685,11600.19,11499.0,100,600,60,30
Knowles Lime SB1,64628631,11686,11786,11685.19,11584.0,110,700,50,30
Knowles Lime SB2,64628631,11787,12656,11786.19,11685.0,140,970,53,35
Bossier,64628631,12657,12733,12656.19,12555.0,140,960,51,35
